id,cve,mariadb_jira,github_issue,severity,title,description,flavor,affected_from,fixed_in,remediation_description,remediation_risk
WRK0001,,MDEV-31404,,ERROR,"MariaDB InnoDB crash on ALTER TABLE with virtual columns (MDEV-31404)","Server {server_url} is running {flavor} {version} which is affected by MDEV-31404 — InnoDB may crash during ALTER TABLE on tables with virtual columns under concurrent DML load.",MariaDB,10.5.0,10.5.22,"Upgrade to MariaDB 10.5.22 / 10.6.14 / 10.11.4 or later.",disruptive
WRK0002,,MDEV-31404,,ERROR,"MariaDB InnoDB crash on ALTER TABLE with virtual columns (MDEV-31404)","Server {server_url} is running {flavor} {version} which is affected by MDEV-31404 — InnoDB may crash during ALTER TABLE on tables with virtual columns under concurrent DML load.",MariaDB,10.6.0,10.6.14,"Upgrade to MariaDB 10.6.14 or later.",disruptive
WRK0003,,MDEV-31404,,ERROR,"MariaDB InnoDB crash on ALTER TABLE with virtual columns (MDEV-31404)","Server {server_url} is running {flavor} {version} which is affected by MDEV-31404 — InnoDB may crash during ALTER TABLE on tables with virtual columns under concurrent DML load.",MariaDB,10.11.0,10.11.4,"Upgrade to MariaDB 10.11.4 or later.",disruptive
WRK0004,,MDEV-29644,,WARNING,"MariaDB optimizer crash with window functions and CTEs (MDEV-29644)","Server {server_url} is running {flavor} {version} which is affected by MDEV-29644 — the optimizer may crash when processing queries combining window functions with common table expressions (CTEs).",MariaDB,10.5.0,10.5.21,"Upgrade to MariaDB 10.5.21 / 10.6.13 / 10.11.3 or later.",disruptive
WRK0005,,MDEV-29644,,WARNING,"MariaDB optimizer crash with window functions and CTEs (MDEV-29644)","Server {server_url} is running {flavor} {version} which is affected by MDEV-29644 — the optimizer may crash when processing queries combining window functions with common table expressions (CTEs).",MariaDB,10.6.0,10.6.13,"Upgrade to MariaDB 10.6.13 or later.",disruptive
WRK0006,,MDEV-29644,,WARNING,"MariaDB optimizer crash with window functions and CTEs (MDEV-29644)","Server {server_url} is running {flavor} {version} which is affected by MDEV-29644 — the optimizer may crash when processing queries combining window functions with common table expressions (CTEs).",MariaDB,10.11.0,10.11.3,"Upgrade to MariaDB 10.11.3 or later.",disruptive
WRK0007,,MDEV-30820,,ERROR,"MariaDB InnoDB deadlock on purge with spatial index (MDEV-30820)","Server {server_url} is running {flavor} {version} which is affected by MDEV-30820 — InnoDB purge thread can deadlock with DML on tables containing spatial indexes causing the server to hang.",MariaDB,10.6.0,10.6.14,"Upgrade to MariaDB 10.6.14 / 10.11.4 or later.",disruptive
WRK0008,,MDEV-30820,,ERROR,"MariaDB InnoDB deadlock on purge with spatial index (MDEV-30820)","Server {server_url} is running {flavor} {version} which is affected by MDEV-30820 — InnoDB purge thread can deadlock with DML on tables containing spatial indexes causing the server to hang.",MariaDB,10.11.0,10.11.4,"Upgrade to MariaDB 10.11.4 or later.",disruptive
WRK0009,,MDEV-29032,,WARNING,"MariaDB memory leak in query cache with prepared statements (MDEV-29032)","Server {server_url} is running {flavor} {version} which is affected by MDEV-29032 — repeated prepared statement execution with query cache enabled leaks memory until OOM or manual FLUSH QUERY CACHE.",MariaDB,10.5.0,10.5.20,"Upgrade to MariaDB 10.5.20 / 10.6.13 or later or disable query cache.",disruptive
WRK0010,,MDEV-29032,,WARNING,"MariaDB memory leak in query cache with prepared statements (MDEV-29032)","Server {server_url} is running {flavor} {version} which is affected by MDEV-29032 — repeated prepared statement execution with query cache enabled leaks memory until OOM or manual FLUSH QUERY CACHE.",MariaDB,10.6.0,10.6.13,"Upgrade to MariaDB 10.6.13 or later or disable query cache.",disruptive
WRK0011,,MDEV-31105,,ERROR,"MariaDB server crash on KILL during InnoDB fulltext rebuild (MDEV-31105)","Server {server_url} is running {flavor} {version} which is affected by MDEV-31105 — issuing KILL on a thread performing InnoDB fulltext index rebuild can crash the server.",MariaDB,10.6.0,10.6.14,"Upgrade to MariaDB 10.6.14 / 10.11.4 or later.",disruptive
WRK0012,,MDEV-31105,,ERROR,"MariaDB server crash on KILL during InnoDB fulltext rebuild (MDEV-31105)","Server {server_url} is running {flavor} {version} which is affected by MDEV-31105 — issuing KILL on a thread performing InnoDB fulltext index rebuild can crash the server.",MariaDB,10.11.0,10.11.4,"Upgrade to MariaDB 10.11.4 or later.",disruptive
