id,cve,mariadb_jira,github_issue,severity,title,description,flavor,affected_from,fixed_in,remediation_description,remediation_risk
RPL0001,,MDEV-20821,,ERROR,"MariaDB replication blocker: crash-safe slave with parallel replication (MDEV-20821)","Server {server_url} is running {flavor} {version} which is affected by MDEV-20821 — a critical replication blocker that can cause data loss or slave crash when using crash-safe parallel replication.",MariaDB,10.4.12,10.5.1,"Upgrade to MariaDB 10.5.1 or later.",disruptive
RPL0002,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.2.0,10.2.44,"Upgrade to MariaDB 10.2.44+ / 10.3.35+ / 10.4.25+ / 10.5.16+ / 10.6.8+ / 10.7.4+ / 10.8.3+ or switch to ROW binlog format.",disruptive
RPL0003,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.3.0,10.3.35,"Upgrade to MariaDB 10.3.35 or later or switch to ROW binlog format.",disruptive
RPL0004,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.4.0,10.4.25,"Upgrade to MariaDB 10.4.25 or later or switch to ROW binlog format.",disruptive
RPL0005,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.5.0,10.5.16,"Upgrade to MariaDB 10.5.16 or later or switch to ROW binlog format.",disruptive
RPL0006,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.6.0,10.6.8,"Upgrade to MariaDB 10.6.8 or later or switch to ROW binlog format.",disruptive
RPL0007,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.7.0,10.7.4,"Upgrade to MariaDB 10.7.4 or later or switch to ROW binlog format.",disruptive
RPL0008,,MDEV-28310,,WARNING,"MariaDB replication issue with non-ROW binlog format (MDEV-28310)","Server {server_url} is running {flavor} {version} which is affected by MDEV-28310 — replication may silently produce incorrect results when using STATEMENT or MIXED binlog format.",MariaDB,10.8.0,10.8.3,"Upgrade to MariaDB 10.8.3 or later or switch to ROW binlog format.",disruptive
RPL0009,,MDEV-19577,,WARNING,"MariaDB AUTOINC + non-ROW replication issue (MDEV-19577)","Server {server_url} is running {flavor} {version} which is affected by MDEV-19577 — using INNODB_AUTOINC_LOCK_MODE=2 with non-ROW binlog format can cause auto-increment gaps or duplicate key errors on replicas.",MariaDB,10.2.0,10.3.35,"Upgrade to MariaDB 10.3.35+ / 10.4.25+ / 10.5.16+ or set INNODB_AUTOINC_LOCK_MODE=1 or use ROW binlog format.",disruptive
RPL0010,,MDEV-19577,,WARNING,"MariaDB AUTOINC + non-ROW replication issue (MDEV-19577)","Server {server_url} is running {flavor} {version} which is affected by MDEV-19577 — using INNODB_AUTOINC_LOCK_MODE=2 with non-ROW binlog format can cause auto-increment gaps or duplicate key errors on replicas.",MariaDB,10.4.0,10.4.25,"Upgrade to MariaDB 10.4.25 or later.",disruptive
RPL0011,,MDEV-19577,,WARNING,"MariaDB AUTOINC + non-ROW replication issue (MDEV-19577)","Server {server_url} is running {flavor} {version} which is affected by MDEV-19577 — using INNODB_AUTOINC_LOCK_MODE=2 with non-ROW binlog format can cause auto-increment gaps or duplicate key errors on replicas.",MariaDB,10.5.0,10.5.16,"Upgrade to MariaDB 10.5.16 or later.",disruptive
RPL0012,,MDEV-19577,,WARNING,"MariaDB AUTOINC + non-ROW replication issue (MDEV-19577)","Server {server_url} is running {flavor} {version} which is affected by MDEV-19577 — using INNODB_AUTOINC_LOCK_MODE=2 with non-ROW binlog format can cause auto-increment gaps or duplicate key errors on replicas.",MariaDB,10.6.0,10.6.8,"Upgrade to MariaDB 10.6.8 or later.",disruptive
RPL0013,,MDEV-19577,,WARNING,"MariaDB AUTOINC + non-ROW replication issue (MDEV-19577)","Server {server_url} is running {flavor} {version} which is affected by MDEV-19577 — using INNODB_AUTOINC_LOCK_MODE=2 with non-ROW binlog format can cause auto-increment gaps or duplicate key errors on replicas.",MariaDB,10.7.0,10.7.4,"Upgrade to MariaDB 10.7.4 or later.",disruptive
