Issue key;Issue id;Priority;Status;Updated;Component/s;Component/s;Component/s;Component/s;Component/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Summary
MDEV-20247;77992;Blocker;Closed;2024-07-08 00:44;Replication;Storage Engine - InnoDB;;;;10.1.41;10.2.26;10.3.17;10.4.7;;;;;;;;;;;10.1.42;10.2.27;10.3.18;10.4.8;;;;;;;"Replication hangs with ""preparing"" and never starts"
MDEV-20348;78236;Blocker;Closed;2024-07-08 00:44;Replication;;;;;;;;;;;;;;;;;;;10.2.27;10.3.18;10.4.8;;;;;;;;DROP TABLE IF EXISTS killed on master but was replicated.
MDEV-26712;103413;Blocker;Closed;2024-07-07 23:01;Replication;;;;;10.2;10.3;10.4;10.5;10.6;;;;;;;;;;10.2.41;10.3.32;10.4.22;10.5.13;10.6.5;;;;;;row events never reset thd->mem_root
MDEV-26833;103945;Blocker;Closed;2024-07-07 23:01;Replication;;;;;10.2;10.3;10.4;10.5;10.6;;;;;;;;;;10.2.41;10.3.32;10.4.22;10.5.13;10.6.5;10.7.1;;;;;Missed statement rollback in case transaction drops or create temporary table
MDEV-27760;107652;Blocker;Closed;2024-07-07 22:41;Replication;;;;;10.6;10.7;10.8;;;;;;;;;;;;10.6.8;10.7.4;10.8.3;;;;;;;;event may non stop replicate in circular semisync setup
MDEV-28609;111109;Blocker;Closed;2024-07-07 22:16;Replication;;;;;;;;;;;;;;;;;;;10.6.9;10.7.5;10.8.4;10.9.2;;;;;;;refine gtid-strict-mode to ignore same server-id gtid from the past on semisync slave
MDEV-29621;114914;Blocker;Closed;2024-07-07 21:52;Binary Protocol;Replication;;;;10.3.36;10.4.26;10.6.11;;;;;;;;;;;;10.10.4;10.11.3;10.3.39;10.4.29;10.5.20;10.6.13;10.8.8;10.9.6;;;Replica stopped by locks on sequence
MDEV-30423;118298;Blocker;Closed;2024-07-07 21:49;Replication;;;;;10.6.11;;;;;;;;;;;;;;10.10.3;10.5.19;10.6.12;10.7.8;10.8.7;10.9.5;;;;;Deadlock on Replica during BACKUP STAGE BLOCK_COMMIT on  XA transactions
MDEV-31792;123738;Blocker;Closed;2024-07-07 21:36;Replication;Sequences;;;;10.10;10.11;10.5;10.6;10.9;11.0;11.1;;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;11.0.4;11.1.3;11.2.2;11.3.1;;Assertion fails in MDL_context::acquire_lock upon parallel replication of CREATE SEQUENCE
MDEV-32093;124814;Blocker;Closed;2024-07-07 21:20;Replication;;;;;10.10;10.11;10.4;10.5;10.6;11.0;11.1;;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;11.0.4;11.1.3;;;;long uniques break old->new replication
MDEV-33924;128778;Blocker;Closed;2024-05-07 04:46;Replication;;;;;11.5;;;;;;;;;;;;;;11.5.1;;;;;;;;;;Gtid_log_event thread_id missing in binlog when pseudo_thread_id is set to 0 or negative
MDEV-24671;96230;Blocker;Closed;2024-02-27 10:14;Locking;Replication;Storage Engine - InnoDB;XA;;10.6;;;;;;;;;;;;;;10.6.0;;;;;;;;;;Assertion failure in lock_wait_table_reserve_slot()
MDEV-33283;127333;Blocker;Closed;2024-01-22 22:20;Replication;;;;;10.11;10.4;10.5;10.6;11.0;11.1;11.2;11.3;;;;;;;10.11.7;10.5.24;10.6.17;11.0.5;11.1.4;11.2.3;;;;;Binlog Checksum is Zeroed by Zlib if Part of Event Data is Empty
MDEV-33031;126939;Blocker;Closed;2024-01-22 07:19;Performance Schema;Replication;Storage Engine - Spider;;;10.6;;;;;;;;;;;;;;10.11.7;10.6.17;11.0.5;11.1.4;11.2.3;;;;;;Assertion failure upon reading from performance schema with binlog enabled
MDEV-28310;109892;Blocker;Closed;2023-12-06 21:06;Replication;;;;;10.2;10.3;10.3.34;10.4;;;;;;;;;;;10.2.44;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;10.9.1;;;Missing binlog data for INSERT .. ON DUPLICATE KEY UPDATE
MDEV-32593;126004;Blocker;Closed;2023-10-31 14:41;Replication;Sequences;;;;10.4;;;;;;;;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;11.0.4;11.1.3;11.2.2;11.3.1;;Assertion failure upon CREATE SEQUENCE within transaction
MDEV-22722;87474;Blocker;Closed;2023-09-07 14:18;Replication;Server;;;;10.5;;;;;;;;;;;;;;10.5.4;;;;;;;;;;"Assertion ""inited==NONE"" failed in  handler::ha_index_init on the slave during UPDATE"
MDEV-31749;123581;Blocker;Closed;2023-08-08 10:02;Replication;;;;;10.4;;;;;;;;;;;;;;10.10.6;10.11.5;10.4.31;10.5.22;10.6.15;10.8.8;10.9.8;11.0.3;11.1.2;11.2.1;"New test rpl.rpl_parallel_sbm in bb-10.4-MDEV-30619 sporadically fails in various locations (prepatch: lines 100, 177, 184) (postpatch_1: lines 180, 187)"
MDEV-29322;113853;Blocker;Closed;2022-11-10 17:24;Replication;;;;;10.10;10.5;10.6;10.7;10.8;10.9;;;;;;;;;10.5.18;10.6.10;10.7.6;10.8.5;10.9.3;;;;;;"ASAN heap-use-after-free in Query_log_event::do_apply_event, rpl.rpl_mdev10863 fails frequently"
MDEV-26031;100850;Blocker;Closed;2022-08-15 15:46;Replication;;;;;10.2;10.3;10.4;10.5;10.6;;;;;;;;;;10.6.3;;;;;;;;;;unnessary xid logging in one phase commit case
MDEV-23089;89153;Blocker;Closed;2021-12-08 15:16;Replication;Tests;;;;10.1;10.2;10.3;10.4;10.5;;;;;;;;;;10.1.46;10.2.33;10.3.24;10.4.16;10.5.5;;;;;;rpl_parallel2 fails in 10.5
MDEV-24302;94312;Blocker;Closed;2021-05-06 19:01;Replication;Storage Engine - InnoDB;;;;10.5;10.6;;;;;;;;;;;;;10.5.10;;;;;;;;;;RESET MASTER hangs as Innodb does not report on binlog checkpoint
MDEV-21063;80477;Blocker;Closed;2019-11-19 14:17;Replication;;;;;10.5;;;;;;;;;;;;;;10.5.0;;;;;;;;;;Very many test failures on big-endian PowerPC
MDEV-18096;71599;Blocker;Closed;2019-04-23 13:04;Replication;;;;;10.3.8;;;;;;;;;;;;;;10.3.15;;;;;;;;;;The server would crash when has configs  rpl_semi_sync_master_enabled = OFF rpl_semi_sync_master_wait_no_slave =OFF
MDEV-14528;64522;Blocker;Closed;2018-11-13 19:42;Replication;;;;;10.2;10.3;;;;;;;;;;;;;10.2.19;10.3.11;;;;;;;;;Track master timestamp in case rolling back to serial replication
MDEV-15796;66710;Blocker;Closed;2018-04-14 18:33;Replication;;;;;10.3.5;;;;;;;;;;;;;;10.3.6;;;;;;;;;;MariaDB crashes on startup with semisync master enabled
MDEV-9515;55471;Blocker;Closed;2016-03-30 06:48;Galera;Replication;;;;10.1.10;10.1.11;10.1.12;;;;;;;;;;;;10.1.13;;;;;;;;;;Galera to Galera Async Master / Master Replication Crash Cluster
MDEV-9044;53946;Blocker;Closed;2015-12-18 23:33;Galera;Replication;;;;10.1.6;10.1.8;;;;;;;;;;;;;10.1.10;;;;;;;;;;Binlog corruption in Galera
MDEV-6860;45928;Critical;Closed;2024-07-08 03:23;Galera;Replication;;;;10.0.13-galera;10.3;10.5.6;;;;;;;;;;;;10.4.9;;;;;;;;;;Parallel async replication hangs on a Galera node
MDEV-9510;55466;Critical;Closed;2024-07-08 03:22;Galera;Replication;;;;10.1.10;10.1.20;10.1.23;10.2;;;;;;;;;;;10.1.30;10.2.11;;;;;;;;;Segmentation fault in binlog thread causes crash
MDEV-8134;51301;Critical;Closed;2024-07-08 03:13;Replication;;;;;10.0;10.0.14;10.1;;;;;;;;;;;;10.2.37;10.3.28;10.4.18;10.5.9;;;;;;;The relay-log is not flushed after the slave-relay-log.999999 showed
MDEV-9266;54723;Critical;Closed;2024-07-08 03:13;Replication;;;;;10.0;10.1;10.2;;;;;;;;;;;;10.0.36;10.1.35;10.2.17;10.3.9;;;;;;;Creating index on temporaray table breaks replication
MDEV-10276;57183;Critical;Closed;2024-07-08 03:11;Galera;Replication;;;;10.1.13;;;;;;;;;;;;;;10.1.30;;;;;;;;;;Crash signal 11 during logrotate
MDEV-10523;57602;Critical;Closed;2024-07-08 03:11;Replication;;;;;10.0.19;;;;;;;;;;;;;;10.0.21;;;;;;;;;;Deadlock between INSERT and DROP on parallel replication
MDEV-10644;57757;Critical;Closed;2024-07-08 03:11;Replication;;;;;10.0.26;;;;;;;;;;;;;;10.0.30;10.1.22;;;;;;;;;One of parallel replication threads remains active after STOP SLAVE SQL_THREAD completes
MDEV-10963;58351;Critical;Closed;2024-07-08 03:11;Documentation;Replication;;;;10.0.25;;;;;;;;;;;;;;10.1.38;;;;;;;;;;mysqlbinlog can produce events larger than max_allowed_packet for mysql
MDEV-12012;60147;Critical;Closed;2024-07-08 02:59;Replication;;;;;10.0.28;10.0.29;10.1.21;;;;;;;;;;;;10.1.30;10.2.11;;;;;;;;;gtid_domain_id doesn't work with multisource between 10.1 and 10.0 + GTID
MDEV-13685;62922;Critical;Closed;2024-07-08 02:38;Character Sets;Replication;Stored routines;;;10.0;10.1.23;10.1.26;10.2.9;;;;;;;;;;;10.0.33;10.1.27;10.2.9;10.3.2;;;;;;;"Can not replay binary log due to Illegal mix of collations (latin1_swedish_ci,IMPLICIT) and (utf8mb4_general_ci,COERCIBLE) for operation 'concat' "
MDEV-13915;63360;Critical;Closed;2024-07-08 02:37;Replication;;;;;10.0;10.1;10.2;10.2.8;10.3;10.4;10.5;10.6;10.7;10.8;;;;;10.10.6;10.11.5;10.4.31;10.5.22;10.6.15;10.8.8;10.9.8;11.0.3;11.1.2;11.2.1;STOP SLAVE takes very long time on a busy system
MDEV-14014;63505;Critical;Closed;2024-07-08 02:37;Replication;;;;;10.1.20;;;;;;;;;;;;;;10.1.35;10.2.17;10.3.8;;;;;;;;Multi-Slave Replication Fail: bogus data in log event
MDEV-14339;64223;Critical;Closed;2024-07-08 02:37;Galera;Replication;Storage Engine - InnoDB;;;10.1;10.1.17;10.2.13;10.2.8;;;;;;;;;;;10.4.4;;;;;;;;;;Different Galera performance behavior regarding to flushing between MySQL and MariaDB
MDEV-14605;64743;Critical;Closed;2024-07-08 02:24;Replication;;;;;10.1.26;;;;;;;;;;;;;;10.1.38;;;;;;;;;;ON UPDATE CURRENT_TIMESTAMP fields by multi-table UPDATE are not logged with binlog_row_image=MINIMAL
MDEV-14721;64933;Critical;Closed;2024-07-08 02:22;Replication;;;;;10.2.11;;;;;;;;;;;;;;10.1.32;10.2.13;;;;;;;;;Big transaction events get lost on semisync master when replicate_events_marked_for_skip=FILTER_ON_MASTER
MDEV-15152;65645;Critical;Closed;2024-07-08 02:22;Replication;;;;;10.2.12;;;;;;;;;;;;;;10.1.46;10.2.33;10.3.24;10.4.14;10.5.4;;;;;;Optimistic parallel slave doesn't cope well with START SLAVE UNTIL
MDEV-15307;65869;Critical;Closed;2024-07-08 02:22;Galera;Replication;;;;10.1.28;;;;;;;;;;;;;;10.1.30;;;;;;;;;;MariaDB 10.1 crashing on binlog switch to new file
MDEV-15242;65782;Critical;Closed;2024-07-08 02:22;Partitioning;Replication;Storage Engine - InnoDB;;;10.0.34;10.1.31;;;;;;;;;;;;;10.0.36;10.1.35;10.2.17;10.3.8;;;;;;;Poor RBR update performance with partitioned tables
MDEV-15498;66180;Critical;Closed;2024-07-08 02:22;Replication;Storage Engine - Connect;;;;10.2;;;;;;;;;;;;;;10.2.29;10.3.20;10.4.10;;;;;;;;replication connect engine Slave: Access denied for user ''@'' (using password: NO) Error_code: 1045
MDEV-15919;66924;Critical;Closed;2024-07-08 01:54;Replication;;;;;10.2;;;;;;;;;;;;;;10.0.37;10.1.37;10.2.19;10.3.11;5.5.62;;;;;;lower_case_table_names does not behave as expected(nor consistently) on Replication Slave
MDEV-16001;67041;Critical;Closed;2024-07-08 01:54;Replication;;;;;10.1.19;;;;;;;;;;;;;;10.1.32;;;;;;;;;;parallel replication appears in deadlock
MDEV-16091;67235;Critical;Closed;2024-07-08 01:54;Replication;;;;;10.0.38;10.1.28;10.4.19;;;;;;;;;;;;10.2.42;10.3.33;10.4.23;10.5.14;10.6.6;10.7.2;;;;;Seconds_Behind_Master spikes to millions of seconds
MDEV-16787;68779;Critical;Closed;2024-07-08 01:54;Replication;Storage Engine - Spider;;;;10.3;;;;;;;;;;;;;;10.3.13;10.4.3;;;;;;;;;optimistic parallel replication fails on spider
MDEV-17133;69496;Critical;Closed;2024-07-08 01:49;Replication;;;;;10.1.36;10.2.17;;;;;;;;;;;;;10.1.38;10.2.19;;;;;;;;;"Binlog truncated in the middle of event; consider out of disk space on master"
MDEV-17437;70262;Critical;Closed;2024-07-08 01:38;Replication;;;;;10.3;;;;;;;;;;;;;;10.3.11;;;;;;;;;;Semisync master fires invalid fd value assert
MDEV-17588;70529;Critical;Closed;2024-07-08 01:38;Replication;;;;;10.0;10.1;10.2;10.2.14;10.2.17;10.2.18;10.3;10.3.10;10.4;5.5;;;;;10.1.41;10.2.26;10.3.17;10.4.7;;;;;;;replicate-do filters cause errors when creating filtered-out tables on master with syntax unsupported on slave
MDEV-17863;71142;Critical;Closed;2024-07-08 01:21;Replication;;;;;10.2;10.3;;;;;;;;;;;;;10.3.19;10.4.9;;;;;;;;;DROP TEMPORARY TABLE creates a transaction in binary log on read only server
MDEV-18778;72908;Critical;Closed;2024-07-08 01:21;Configuration;Data Manipulation - Insert;Galera;Replication;Scripts & Clients;10.0.38-galera;10.1.38;10.2.22;10.3.13;10.4.3;;;;;;;;;;10.1.42;10.2.27;10.3.18;10.4.8;;;;;;;mysql_tzinfo_to_sql does not work correctly in MariaDB Galera
MDEV-18918;73256;Critical;Closed;2024-07-08 01:21;Data Definition - Create Table;Replication;Variables;;;10.3;10.4;;;;;;;;;;;;;10.3.33;10.4.23;10.5.14;10.6.6;10.7.2;10.8.1;;;;;SQL mode EMPTY_STRING_IS_NULL breaks RBR upon CREATE TABLE .. SELECT
MDEV-19632;76426;Critical;Closed;2024-07-08 00:58;Replication;;;;;10.3;10.3.16;10.3.18;10.4;;;;;;;;;;;10.3.24;10.4.14;10.5.5;;;;;;;;Replication aborts with ER_SLAVE_CONVERSION_FAILED upon CREATE ... SELECT in ORACLE mode
MDEV-19376;75822;Critical;Closed;2024-07-08 00:49;Replication;;;;;10.3.13;;;;;;;;;;;;;;10.1.44;10.2.30;10.3.21;10.4.11;;;;;;;"Repl_semi_sync_master::commit_trx assertion failure: (thd_kill_level(thd) == THD_ABORT_ASAP) || !m_active_tranxs || !m_active_tranxs->is_tranx_end_pos(trx_wait_binlog_name, trx_wait_binlog_pos)"
MDEV-19572;76219;Critical;Closed;2024-07-08 00:47;Galera;Replication;;;;10.1;10.2.16;10.2.23;;;;;;;;;;;;10.1.44;10.2.30;10.3.21;10.4.11;;;;;;;Async slave on Galera node stops due to 1942 Error during COMMIT: failed to update GTID state in mysql.gtid_slave_pos: 0:
